id,term, knowledge area
59,ACCESS CONTROL   ACCESS,AAA
60,ACCESS CONTROL   CBAC,AAA
61,ACCESS CONTROL   DAC  DISCRETIONARY ACCESS CONTROL ,AAA
62,ACCESS CONTROL   DAC  DISCRETIONARY ACCESS CONTROL    POLICY IMPLEMENTATION,AAA
63,ACCESS CONTROL   DAC  DISCRETIONARY ACCESS CONTROL    RSBAC,AAA
64,ACCESS CONTROL   DEFINITION,AAA
65,ACCESS CONTROL   LOGICAL,AAA
66,ACCESS CONTROL   LOGICAL   EXECUTE,AAA
67,ACCESS CONTROL   LOGICAL   READ AND WRITE,AAA
68,ACCESS CONTROL   LOGICAL   READ ONLY,AAA
69,ACCESS CONTROL   MAC  MANDATORY ACCESS CONTROL ,AAA
70,ACCESS CONTROL   MANAGERIAL,AAA
71,ACCESS CONTROL   MANAGERIAL   GUIDELINES,RMG
72,ACCESS CONTROL   MANAGERIAL   POLICY DOCUMENTS,RMG
73,ACCESS CONTROL   MANAGERIAL   POLICY LIFECYCLE,RMG
74,ACCESS CONTROL   MANAGERIAL   PROCEDURES,RMG
75,ACCESS CONTROL   MANAGERIAL   STANDARDS,RMG
76,ACCESS CONTROL   MATRIX,AAA
77,ACCESS CONTROL   MODEL,AAA
78,ACCESS CONTROL   NDAC  NON DISCRETIONARY ACCESS CONTROL ,AAA
79,ACCESS CONTROL   OBJECTS,AAA
80,ACCESS CONTROL   OPERATIONAL,OSV
81,ACCESS CONTROL   PUBLIC,AAA
82,ACCESS CONTROL   ROLE BASED,AAA
83,ACCESS CONTROL   SUBJECTS,AAA
84,ACCESS CONTROL   TRBAC,AAA
85,ACCESS CONTROL AND NEED TO KNOW,AAA
86,ACCESS CONTROL CAPABILITIES,OSV;AAA
87,ACCESS CONTROL CONCEPTS,AAA
88,ACCESS CONTROL IN DISTRIBUTED SYSTEMS,AAA
89,ACCESS CONTROL LIST,OSV;AAA
90,ACCESS CONTROL LIST  ACL ,OSV
91,ACCESS CONTROL LISTS,OSV
92,ACCESS CONTROL LOGIC,SS;AAA
93,ACCESS CONTROL LOGICS,AAA
94,ACCESS CONTROL MATRIX,FM;AAA
95,ACCESS CONTROL MATRIX   BELL LAPADULA MODEL,AAA
96,ACCESS CONTROL MODEL,AAA
97,ACCESS CONTROL POLICY,WAM;HS;FM;OSV;SS
98,ACCESS CONTROL TABLE,AAA
99,ACCESS DECISION,SSL
100,ACCESS DEFINITION,AAA
101,ACCESS MANAGEMENT,INTRO
102,ACCESS MATRIX,OSV
103,ACCESS METHOD,SO
104,ACCESS NETWORK,NS
105,ACCESS OPERATIONS,AAA
106,ACCESS PATH,OSV
107,ACCESS PATTERN,C;SS;MAT;FM
108,ACCESS PERMISSIONS,WAM;F
109,ACCESS POINT,NS
110,ACCESS PORT,NS
111,ACCESS PRIVILEGE,WAM;F;AAA
112,ACCESS REMOTE,DSS
113,ACCESS REQUEST,WAM;OSV;AAA
114,ACCESS RIGHTS,DSS;HS;LR;OSV;AAA
115,ACCESS RULES,AAA
116,ACCESS SPACE,OSV
117,ACCESS STRUCTURE,C;AAA
118,ACCESS SUBJECT,AAA
119,ACCESS SYSTEM,AAA
120,ACCESS TOKEN,WAM;HF;F;AAA
121,ACCESS CONTROLLED REPOSITORY,HF
122,ACCESS ADMISSION CONTROL & ID MANAGEMENT,DSS
123,ACCESSIBILITY,RMG;DSS
124,ACCIDENT,CPS;AB
125,ACCOUNT MANAGEMENT,AAA
126,ACCOUNT SETTINGS,WAM
127,ACCOUNT STATEMENT,AB
128,ACCOUNT VALIDATION,OSV
129,ACCOUNTABILITY,RMG;DSS;WAM;POR;AAA;INTRO;SSL
130,ACCOUNTABILITY   EXTERNAL PROGRAM DRIVERS FOR,LR
131,ACCOUNTABILITY  AUDITING,AAA
132,ACCOUNTABLE ACCOUNTABILITY,AAA
133,ACCREDITATION,RMG;AAA
134,ACCREDITATION   MEASURING NUMBER OF SYSTEMS,RMG
135,ACCREDITATION   SYSTEM AUTHORIZATION AUTHORITY,SO
136,ACCREDITATION BOUNDARIES   ESTABLISHING,RMG
137,ACCURACY AS RECOVERY TEST METRIC,F
138,ACCURATE CREDIT TRANSACTIONS ACT,LR
139,ACHIEVABLE GOALS,RMG
140,ACK MESSAGE,NS
141,ACK SCHEME,DSS
142,ACKNOWLEDGEMENT,PLS;LR;NS
143,ACL  ACCESS CONTROL LIST ,AAA
144,ACL2,FM
145,ACM CODE OF ETHICS AND PROFESSIONAL CONDUCT,LR
146,ACOUSTIC ISOLATION,CPS
147,ACPO  ASSOCIATION OF CHIEF POLICE OFFERS ,LR
148,ACPO GOOD PRACTICE GUIDE FOR DIGITAL EVIDENCE,F
149,ACQUISITION LIFECYCLE,SO
150,ACQUISITION SETUP,PLS
151,ACQUISITION DEVELOPMENT PHASE,SO
152,ACQUISITIONS STRATEGY,SO
153,ACROSS ASS ,NS
154,ACT  HIPAA ,LR
155,ACTION PLAN   FOR IMPLEMENTATION OF INFORMATION SECURITY GOVERNANCE,RMG
156,ACTION PLAN   FOR INCIDENT MANAGEMENT,SO
157,ACTION PLAN   GAP ANALYSIS AS BASIS FOR,SO
158,ACTION PLAN INTERMEDIATE GOALS,SO
159,ACTION PLAN METRICS,RMG
160,ACTIONS ON OBJECTIVES,MAT;AB
161,ACTIVATION KEY,LR
162,ACTIVATION RECORD,SS
163,ACTIVE ADVERSARY,FM;HF
164,ACTIVE ATTACK,AB
165,ACTIVE ATTACKER MODEL,PLS;DSS;NS;HF
166,ACTIVE DETECTION,CPS
167,ACTIVE DIRECTORY DOMAIN SERVICES  ADDS ,AAA
168,ACTIVE FAILURE,HF
169,ACTIVE FAULT ATTACKS,HS
170,ACTIVELY SECURE PROTOCOL,C
171,ACTIVEX,WAM;SSL
172,ACTIVISM,CPS
173,ACTIVISTS,AB
174,ACTOR ORIENTED APPROACHES,RMG
175,ACTS OF WAR,CPS
176,ACTUAL VULNERABILITY ASSESSMENT,HS
177,ACTUARIAL DATA,CPS
178,ACTUATOR,INTRO;CPS;NS;HF
179,AD EXCHANGE,AB
180,AD HOC MODE,NS
181,AD IMPRESSIONS,AB
182,ADA,SS;FM
183,ADAPTATION,AB
184,ADAPTATIONS OF SECURE SOFTWARE LIFECYCLE,SSL
185,ADAPTIVELY SECURE MPC,C
186,ADDING A SECURITY EMPHASIS TO OT&E,HF
187,ADDRESS   BUS,OSV
188,ADDRESS   RESOLUTION PROTOCOL  ARP ,NS
189,ADDRESS   SPACE LAYOUT RANDOMIZATION  ASLR ,OSV
190,ADDRESS BAR,WAM
191,ADDRESS BAR MANIPULATION ATTACKS,WAM
192,ADDRESS BOOK,MAT
193,ADDRESS RESOLUTION,NS
194,ADDRESS RESOLUTION PROTOCOL,NS
195,ADDRESS RESOLUTION PROTOCOL  ARP ,NS
196,ADDRESS RESOLUTION PROTOCOL  ARP    NEIGHBOR DISCOVERY PROTOCOL  NDP ,NS
197,ADDRESS RESOLUTION PROTOCOL POISONING,SO
198,ADDRESS SPACE,DSS;HS;CPS;OSV;SS;NS
199,ADDRESS SPACE ISOLATION,OSV
200,ADDRESS SPACE LAYOUT RANDOMISATION,SS;HS;OSV;CPS
201,ADDRESS SPACE MAPPINGS,OSV
202,ADDRESS VARIANCE,DSS
203,ADDRESSING,NS
204,ADDRESSING   IP,NS
205,ADDRESSING BYPASSED RISK,RMG
206,ADDRESSING SCHEME,DSS
207,ADDRESSING THE CHALLENGES,AC
208,ADDRESSING THREATS,RMG
209,ADDS  ACTIVE DIRECTORY DIRECTORY SERVICE ,OSV
210,ADEQUACY DETERMINATION,LR
211,ADHERENCE TO USE CASES,SO
212,ADJUDICATOR,LR
213,ADMINISTRATION OF SECURITY PROGRAMS,SO
214,ADMINISTRATIVE ACTIVITIES,SO
215,ADMINISTRATIVE ACTIVITIES   ACCEPTABLE USE POLICY,HF
216,ADMINISTRATIVE ACTIVITIES   CULTURE AND REGIONAL VARIANCES,LR
217,ADMINISTRATIVE ACTIVITIES   ETHICS AS,LR;HF
218,ADMINISTRATIVE ACTIVITIES   FOR INFORMATION SECURITY FRAMEWORK,RMG
219,ADMINISTRATIVE ACTIVITIES   LEGAL AND REGULATORY REQUIREMENTS AS,LR
220,ADMINISTRATIVE ACTIVITIES   PLAN DO CHECK ACT AS,SO
221,ADMINISTRATIVE ACTIVITIES   PROGRAM DEVELOPMENT AS,RMG
222,ADMINISTRATIVE ACTIVITIES   PROGRAM MANAGEMENT EVALUATION,RMG
223,ADMINISTRATIVE ACTIVITIES   RISK MANAGEMENT AS,RMG
224,ADMINISTRATIVE ACTIVITIES   SECURITY AWARENESS TRAINING AND EDUCATION,HF
225,ADMINISTRATIVE ACTIVITIES   SECURITY PROBLEM MANAGEMENT,RMG
226,ADMINISTRATIVE COMPONENTS,RMG
227,ADMINISTRATIVE CONTROLS,SO
228,ADMINISTRATIVE ERROR,F
229,ADMINISTRATIVE FINE,LR
230,ADMINISTRATIVE REQUIREMENTS,RMG
231,ADMINISTRATIVE TECHNICAL AND PHYSICAL CONTROLS,SO
232,ADMINISTRATOR,CPS;AB;SSL;MAT;F;HF;WAM;OSV;NS
233,ADMISSIBILITY,F
234,ADMISSIBLE EVIDENCE,LR
235,ADMISSION,AAA
236,ADMISSION CONTROL,DSS
237,ADMISSION INTO EVIDENCE OF ELECTRONIC DOCUMENTS,LR
238,ADOBE,WAM
239,ADOPTION,WAM
240,ADS B,PLS
241,ADVANCE FEE FRAUD,AB
242,ADVANCED ENCRYPTION STANDARD  AES ,C
243,ADVANCED ENCRYPTION STANDARDS,C
244,ADVANCED FORMAT STANDARD,F
245,ADVANCED METERING INFRASTRUCTURE,CPS
246,ADVANCED NETWORK SECURITY TOPICS,NS
247,ADVANCED PERSISTENT THREAT,MAT;AB;SO
248,ADVANCED PERSISTENT THREATS,MAT
249,ADVANCED PERSISTENT THREATS  APTS ,AB
250,ADVANCED PROTOCOLS,C
251,ADVERSARIAL BEHAVIOUR,AB
252,ADVERSARIAL ENVIRONMENT,FM
253,ADVERSARIAL ERROR,POR
254,ADVERSARIAL MACHINE LEARNING,MAT;SO
255,ADVERSARIAL MODEL,POR
256,ADVERSARY CAPABILITY,RMG
257,ADVERSARY MODEL,FM
258,ADVERSARY STRUCTURE,C
259,ADVERSARY'S ADVANTAGE,C
260,ADVERTISEMENT,WAM;NS;AB
261,ADVERTISER,CPS;AB;POR
262,ADWARE,MAT
263,ADWARE   BOTNETS,MAT
264,AE SECURITY,AC
265,AE VARIANTS,AC
266,AEAD,C
267,AERIAL MAPPING,CPS
268,AEROSPACE,CPS
269,AES,HS;C;NS;AC
270,AES  ADVANCED ENCRYPTION STANDARD    CCMP,C
271,AES  ADVANCED ENCRYPTION STANDARD    RIJNDAEL,C
272,AES COUNTER MODE,NS
273,AES GCM,AC
274,AES GCM SIV,AC
275,AFFILIATE PROGRAMME,AB
276,AFFILIATE PROGRAMMES,AB
277,AFFIRMATIVE DEFENCE,LR
278,AFTER ACTION RECOVERY,AAA
279,AFTP  ANONYMOUS FILE TRANSFER PROTOCOL ,NS
280,AGGREGATED AND CASCADING RISK,RMG
281,AGGREGATED RISK,RMG
282,AGGREGATION,OSV
283,AGILE,SSL
284,AGILE AND DEVOPS,SSL
285,AGILE LAVA LAMP AKA FOCUS ON GOOD BUILDS,SSL
286,AGREEMENT,DSS;AAA
287,AGREEMENTS   INITIATION OF,SO
288,AGRICULTURAL MANAGEMENT,CPS
289,AH  AUTHENTICATION HEADER  PROTOCOL,NS
290,AHEAD OF TIME,OSV
291,AICPA SERVICE ORGANIZATION  SOC  REPORTS,RMG
292,AICPA CICA TRUST SERVICES,RMG
293,AIR CONDITIONER,CPS
294,AIR GAP,PLS;INTRO;CPS
295,AIR TRAFFIC COMMUNICATION NETWORKS,PLS
296,AIR TRAFFIC CONTROL,PLS;CPS
297,AIRBUS,SO
298,AIRCRAFT,PLS;CPS
299,AIRPORT,NS
300,AIRSPACE,PLS
301,AIW  ACCEPTABLE INTERRUPTION WINDOW ,SO
302,AIW  ALLOWABLE INTERRUPTION WINDOW ,SO
303,ALARM FATIGUE,HF
304,ALE  ANNUALIZED LOSS EXPECTANCY ,RMG
305,ALERT CORRELATION,SO
306,ALERT MESSAGE LAYERS,SO
307,ALERT PROCESSING,SO
308,ALERT SCHEMA,SO
309,ALERT SITUATION,SO
310,ALERT STREAM,SO
311,ALERTS IN SECURITY INFORMATION AND EVENT MANAGEMENT,SO
312,ALGEBRAIC ATTACKS,C
313,ALGORITHM AND PROTOCOLS WEAKNESSES,C
314,ALGORITHM SENSITIVITY,POR
315,ALGORITHMS,HS;C
316,ALGORITHMS   ASYMMETRIC,C
317,ALGORITHMS   CONFIDENTIAL MESSAGES,C
318,ALGORITHMS   DIFFIE HELLMAN,C
319,ALGORITHMS   ECC  ELLIPTIC CURVE CRYPTOGRAPHY ,C
320,ALGORITHMS   EL GAMAL,C
321,ALGORITHMS   ELLIPTIC CURVE CRYPTOSYSTEM,C
322,ALGORITHMS   ENCRYPTION,C
323,ALGORITHMS   OPEN MESSAGES,C
324,ALGORITHMS   RIJNDAEL,C
325,ALGORITHMS   RSA,C
326,ALGORITHMS   SYMMETRIC,C
327,ALGORITHMS ATTACKS,C
328,ALGORITHMS SCHEMES AND PROTOCOLS,AC
329,ALIASING,SS
330,ALIGNING RISK RESPONSE WITH BUSINESS OBJECTIVES,RMG
331,ALIGNMENT OF SECURITY FUNCTIONS TO BUSINESS STRATEGY GOALS MISSION AND OBJECTIVES,RMG
332,ALIGNMENT WITH BUSINESS GOALS AND OBJECTIVES,RMG
333,ALIVENESS,AAA
334,ALLOCATED SPACE,F
335,ALLOWABLE INTERRUPTION WINDOW,SO
336,ALLOWABLE INTERRUPTION WINDOW  AIW ,SO
337,ALLOY,FM
338,ALMANAC,PLS
339,ALPHA TESTING,SSL
340,ALPHANUMERIC,WAM
341,ALTERNATE FACILITIES,SO
342,ALTERNATE PROCESS,SO
343,ALTERNATE ROUTING,NS
344,ALTERNATE SITE SELECTION,SO
345,ALTERNATIVE PROCESSING,SO
346,ALTERNATIVE ROUTING,NS
347,ALTERNATIVE THEORIES,F
348,ALU,HS
349,AMAZON,DSS;FM;AB
350,AMAZON WEB SERVICES,DSS
351,AMBIENT AUTHORITY,OSV
352,AMBIENT TEMPERATURE,HF
353,AMBIGUITY ANALYSIS,SSL
354,AMBIGUOUS RISKS,RMG
355,AMD,AC
356,AMERICA ONLINE,AB
357,AMERICAN HEALTH INFORMATION MANAGEMENT ASSOCIATION  AHIMA ,LR
358,AMERICAN NATIONAL STANDARDS INSTITUTE  ANSI ,RMG
359,AMOEBA OS,OSV
360,AMOUNT AS RECOVERY TEST METRIC,F
361,AMPLIFICATION ATTACK,NS;AB;SO
362,AMQP,SO
363,AN INCIDENT MANAGEMENT PROGRAM,SO
364,ANALOGUE,PLS;CPS
365,ANALOGUE ATTACK,PLS;CPS
366,ANALOGUE CIRCUITRY,PLS
367,ANALOGUE SENSOR,PLS
368,ANALOGUE TO DIGITAL CONVERTER,PLS
369,ANALYSE: ANALYSIS METHODS,SO
370,ANALYSER MONITOR,MAT
371,ANALYSING THE EVIDENCE,AAA
372,ANALYSIS   EQUIVALENCE BASED,FM
373,ANALYSIS   GAME BASED,FM
374,ANALYSIS   NETWORK,F
375,ANALYSIS   REFINEMENT BASED,FM
376,ANALYSIS   SEMANTICS BASED,FM
377,ANALYSIS   SIMULATION BASED,FM
378,ANALYSIS   SOFTWARE,F
379,ANALYSIS ENVIRONMENT,MAT
380,ANALYSIS ENVIRONMENTS,MAT
381,ANALYSIS OF CONTROLS,SO
382,ANALYSIS OF RISK,RMG
383,ANALYSIS TECHNIQUES,RMG;MAT
384,ANALYTIC ATTACK,C
385,ANALYZE MONITORING RESULTS,SO
386,ANALYZE TEST OUTPUT AND GENERATE REPORT,SO
387,ANALYZING RISK SCENARIOS,RMG
388,ANCHORING IN INFORMATION SECURITY STRATEGY,HF
389,AND NODE,AB
390,ANDROID,WAM;SO;AAA;AC;SSL;HF
391,ANDROID KEYSTORE,AC
392,ANDROID'S INSTANT APP FEATURE,WAM
393,ANGLOPHONE STATUTES,LR
394,ANGLOPHONE TERRITORIES,LR
395,ANNUAL LOSS EXPECTANCY,RMG
396,ANNUAL LOSS EXPECTANCY  ALE ,RMG
397,ANNUALIZED LOSS EXPECTANCY  ALE ,RMG
398,ANOMALIES,SO
399,ANOMALY DETECTION,PLS;WAM;CPS;OSV;SO;MAT;NS
400,ANOMALY MODEL,SO
401,ANOMALY MODELS,SO
402,ANOMALY BASED IDS,NS
403,ANONYMISATION,POR
404,ANONYMITY,DSS;FM;AB;POR;F;C;AC;NS
405,ANONYMITY NETWORKS: TOR RIFFLE AND MIX NETWORKS,POR
406,ANONYMITY SET,POR
407,ANONYMOUS,AB
408,ANONYMOUS AND CENSORSHIP FREE COMMUNICATION,NS
409,ANONYMOUS COMMUNICATIONS NETWORKS,NS;POR
410,ANONYMOUS CREDENTIALS,POR
411,ANONYMOUS FILE TRANSFER PROTOCOL  AFTP ,POR
412,ANONYMOUS FILE TRANSFER PROTOCOL  ANONYMOUS FTP ,NS
413,ANONYMOUS HACTIVIST GROUP,AB
414,ANONYMOUS PETITIONS,POR
415,ANONYMOUSLY MAPPED MEMORY,F
416,ANSI C,FM
417,ANTENNA,PLS;CPS
418,ANTI  MALWARE,MAT
419,ANTI AIRCRAFT SYSTEM,CPS
420,ANTI ANALYSIS AND EVASION TECHNIQUES,MAT
421,ANTI ANALYSIS MECHANISM,MAT
422,ANTI CIRCUMVENTION TECHNOLOGIES,LR
423,ANTI COLLISION PROTOCOL  RFID ,HS
424,ANTI DISASSEMBLY,MAT
425,ANTI FORENSICS TOOL,F
426,ANTI INTRUSION LAW,LR
427,ANTI JAMMING,PLS
428,ANTI MALWARE,MAT;OSV
429,ANTI MALWARE   POLICIES,MAT
430,ANTI MALWARE   SYSTEMS,SO
431,ANTI MALWARE SOFTWARE,MAT
432,ANTI MALWARE SYSTEMS INCIDENT RESPONSE AND,SO
433,ANTI MODEL,SSL
434,ANTI PHISHING,WAM;HF
435,ANTI PHISHING SIMULATIONS,HF
436,ANTI PHISHING TRAINING,WAM
437,ANTI SOCIAL BEHAVIOUR,LR;POR
438,ANTI SPAM SOFTWARE INCIDENT RESPONSE AND,WAM
439,ANTI SPAM TECHNIQUES,AB
440,ANTI TRUST LAW,LR
441,ANTI VIRUS SOFTWARE INCIDENT RESPONSE AND,MAT
442,ANTICIPATION,F
443,ANTIVIRUS,INTRO;OSV;SO;SSL;MAT
444,ANTIVIRUS ENGINES,SO
445,ANTIVIRUS SOFTWARE,MAT
446,ANXIETY,RMG;LR
447,APACHE CASSANDRA,DSS
448,APACHE WEB SERVER,SO
449,API ATTACKS ON SECURITY HARDWARE,FMS
450,API DESIGN,SS
451,API DESIGN FOR CRYPTOGRAPHIC LIBRARIES,AC
452,API USABAILITY,HF
453,API VULNERABILITIES,SS
454,API LEVEL VULNERABILITY,SS
455,APP DEVELOPMENT AND VULNERABILITIES,HF
456,APP TO WEB ATTACK,WAM
457,APPIFICATION,WAM
458,APPLE,PLS;WAM;AC;OSV
459,APPLE APPSTORE,WAM
460,APPLE IBEACON,PLS
461,APPLE IMESSAGE,AC
462,APPLE MESSAGE,AC
463,APPLE RISK BASED MANAGEMENT CONCEPTS TO THE SUPPLY CHAIN,RMG
464,APPLE T2,OSV
465,APPLE TALK   DATA STREAM PROTOCOL  ADSP ,NS
466,APPLE TALK   SESSION PROTOCOL  ASP ,NS
467,APPLET,WAM
468,APPLICATION,WAM
469,APPLICATION   AVAILABILITY,SO
470,APPLICATION   PROGRAMMING INTERFACE  API     SECURITY,SS
471,APPLICATION AND PLATFORMS,SO
472,APPLICATION ARTIFACT,F
473,APPLICATION ARTIFACTS,F
474,APPLICATION AUDITING,SSL
475,APPLICATION BINARIES,WAM
476,APPLICATION CONTROLS,SSL
477,APPLICATION DATA INTEGRITY,OSV
478,APPLICATION DESIGNED WITH SECURITY IN MIND,SSL
479,APPLICATION DEVELOPMENT,SSL
480,APPLICATION FORENSICS,F
481,APPLICATION FRAMEWORK,WAM
482,APPLICATION GATEWAY,NS
483,APPLICATION GATEWAY  AG ,NS
484,APPLICATION ISOLATION,WAM
485,APPLICATION LAYER,AC;MAT;NS;SO
486,APPLICATION LAYER  OSI    PROTOCOLS,NS
487,APPLICATION LAYER  OSI    WEB BASED LAYER,NS
488,APPLICATION LAYER INTERPRETATION,SO
489,APPLICATION LOG,SO;F
490,APPLICATION LOGS: WEB SERVER LOGS AND FILES,SO
491,APPLICATION PROGRAMMING INTERFACE,FM;SS;SSL;MAT;F;HF;WAM;AC;NS
492,APPLICATION PROGRAMMING INTERFACE  API ,SS
493,APPLICATION PROGRAMMING INTERFACE TYPES,SS
494,APPLICATION SANDBOX,WAM
495,APPLICATION SECURITY,WAM
496,APPLICATION SECURITY CONTROL DEFINITION,SSL
497,APPLICATION SECURITY CONTROLS,SSL
498,APPLICATION SECURITY VERFICATION STANDARD,SSL
499,APPLICATION SERVICE PROVIDER  ASP ,DSS
500,APPLICATION SPECIFIC INTEGRATED CIRCUIT  ASIC ,HS
501,APPLICATION STORE,WAM
502,APPLICATION STORE KEY,WAM
503,APPLICATION STORES,WAM
504,APPLICATION SYSTEM TESTING,SSL
505,APPLICATION WHITE LISTING,OSV
506,APPLICATION WHITELISTING,OSV
507,APPLICATION LAYER PROTOCOLS,NS
508,APPLICATION LAYER SECURITY,NS
509,APPLICATION LEVEL PROXIES,WAM
510,APPLICATION SPECIFIC INTEGRATED CIRCUITS,NS
511,APPLICATIONS,SS;SSL;OSV
512,APPLICATIONS   ACCESS CONTROL AND,OSV
513,APPLICATIONS   VIRTUALIZATION,OSV
514,APPLICATIONS AND WEB FACING SERVICES,SS
515,APPLICATIONS DEVELOPMENT,SSL
516,APPLIED CRYPTOGRAPHY,AC
517,APPLIED CRYPTOGRAPHY IN ACTION,AC
518,APPLIED PI,INTRO
519,APPLIED PI CALCULUS,FM
520,APPLYING LAW TO CYBERSPACE AND INFORMATION TECHNOLOGIES,LR
521,APPORTIONING,LR
522,APPROACHES TO API BASED RECOVERY,F
523,APPROVED CRYPTOGRAPHIC ALGORITHMS,HS
524,APPROVED TOOL,SSL
525,APPROVING AUTHORITY   RESPONSIBILITIES OF,RMG;SO
526,APPROXIMATE ANALYSIS,F
527,APPROXIMATE MATCHING,F
528,APPROXIMATIVE MONITOR,SS
529,APTS  ADVANCED PERSISTENT THREATS  ATTACKS,AB
530,ARAB SPRING,AB
531,ARBITER PUF,HS
532,ARCHICTECTURE   DEFINED,SO
533,ARCHICTECTURE   DYNAMIC INTERCONNECTIONS WITH,SO
534,ARCHICTECTURE   IN INFORMATION SECURITY APPROACH,RMG
535,ARCHICTECTURE   MEASUREMENT OF TECHNICAL SECURITY,SO
536,ARCHICTECTURE   OF SECURITY PROGRAMS,SO
537,ARCHICTECTURE   OF TECHNICAL CONTROLS,SO
538,ARCHITECTURAL APPROACHES,RMG
539,ARCHITECTURAL PRINCIPLE,SO
540,ARCHITECTURAL PRINCIPLES,SO
541,ARCHITECTURAL REVIEW,SSL
542,ARCHITECTURAL RISK ANALYSIS,SSL
543,ARCHITECTURAL THREATS,CPS
544,ARCHITECTURE,RMG;SSL
545,ARCHITECTURE  SABSA ,RMG
546,ARCHITECTURE   BELL LAPADULA MODEL,AAA
547,ARCHITECTURE   BIBA MODEL,AAA
548,ARCHITECTURE   BREWER NASH MODEL,AAA
549,ARCHITECTURE   CHINESE WALL MODEL,AAA
550,ARCHITECTURE   CLARK WILSON MODEL,AAA
551,ARCHITECTURE   DESIGN,SO
552,ARCHITECTURE   DESIGN   ACCOUNTABILITY,AAA
553,ARCHITECTURE   DESIGN   AUTHORIZATION,AAA
554,ARCHITECTURE   DESIGN   CONTROLS,SSL
555,ARCHITECTURE   DESIGN   DEFENSE IN DEPTH,SSL
556,ARCHITECTURE   DESIGN   DOCUMENTATION,SSL
557,ARCHITECTURE   DESIGN   LEAST PRIVILEGE,SSL
558,ARCHITECTURE   DESIGN   RISK BASED CONTROLS,SSL
559,ARCHITECTURE   DESIGN   SEPARATION OF DUTIES,SSL
560,ARCHITECTURE   ENTERPRISE ARCHITECTURE,SSL
561,ARCHITECTURE   GRAHAM DENNING MODEL,AAA
562,ARCHITECTURE   HARRISON RUZZO ULLMAN MODEL,AAA
563,ARCHITECTURE   INFORMATION SYSTEMS ARCHITECTURE,SSL
564,ARCHITECTURE   NETWORK ARCHITECTURE,NS
565,ARCHITECTURE   TRUST ARCHITECTURE   DMZ,NS
566,ARCHITECTURE   TRUST ARCHITECTURE   EXTRANETS,NS
567,ARCHITECTURE   TRUST ARCHITECTURE   INTERNET,WAM
568,ARCHITECTURE   TRUST ARCHITECTURE   INTRANETS,NS
569,ARCHITECTURE AND CONTROL OBJECTIVES,INTRO
570,ARCHITECTURE IMPLEMENTATION,INTRO
571,ARCHITECTURE LEVEL,HS
572,ARCHIVAL,F
573,ARCHIVING PROCEDURES,SO
574,ARCHTECTURAL RISK ANALYSIS,SSL
575,ARCSIGHT,SO
576,ARGON2,WAM;AC
577,ARIANE 5 ROCKET ACCIDENT,CPS
578,ARITHMETIC UNIT,HS;OSV
579,ARM,WAM;HS;OSV;AC
580,ARM TRUSTZONE,WAM;HS;CPS;OSV;AC
